title,genre,duration,rating,year,certification,url
Kill Bill: Vol. 1,"Action, Crime, Drama",111,8.2,2003,R,https://www.imdb.com//title/tt0266697/
Finding Nemo,"Animation, Adventure, Comedy",100,8.2,2003,G,https://www.imdb.com//title/tt0266543/
Snatch,"Comedy, Crime",102,8.2,2000,R,https://www.imdb.com//title/tt0208092/
The Sixth Sense,"Drama, Mystery, Thriller",107,8.2,1999,PG-13,https://www.imdb.com//title/tt0167404/
"Lock, Stock and Two Smoking Barrels","Action, Comedy, Crime",107,8.2,1998,R,https://www.imdb.com//title/tt0120735/
The Truman Show,"Comedy, Drama",103,8.2,1998,PG,https://www.imdb.com//title/tt0120382/
L.A. Confidential,"Crime, Drama, Mystery",138,8.2,1997,R,https://www.imdb.com//title/tt0119488/
Children of Heaven,"Drama, Family, Sport",89 ,8.2,1997,PG,https://www.imdb.com//title/tt0118849/
Casino,"Crime, Drama",178,8.2,1995,R,https://www.imdb.com//title/tt0112641/
Jurassic Park,"Action, Adventure, Sci-Fi",127,8.2,1993,PG-13,https://www.imdb.com//title/tt0107290/
Unforgiven,"Drama, Western",130,8.2,1992,R,https://www.imdb.com//title/tt0105695/
Indiana Jones and the Last Crusade,"Action, Adventure",127,8.2,1989,PG-13,https://www.imdb.com//title/tt0097576/
Die Hard,"Action, Thriller",132,8.2,1988,R,https://www.imdb.com//title/tt0095016/
Ran,"Action, Drama, War",162,8.2,1985,R,https://www.imdb.com//title/tt0089881/
The Thing,"Horror, Mystery, Sci-Fi",109,8.2,1982,R,https://www.imdb.com//title/tt0084787/
Raging Bull,"Biography, Drama, Sport",129,8.2,1980,R,https://www.imdb.com//title/tt0081398/
The Elephant Man,"Biography, Drama",124,8.2,1980,PG,https://www.imdb.com//title/tt0080678/
Taxi Driver,"Crime, Drama",114,8.2,1976,R,https://www.imdb.com//title/tt0075314/
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",91 ,8.2,1975,PG,https://www.imdb.com//title/tt0071853/
Dersu Uzala,"Adventure, Biography, Drama",142,8.2,1975,G,https://www.imdb.com//title/tt0071411/
Chinatown,"Drama, Mystery, Thriller",130,8.2,1974,R,https://www.imdb.com//title/tt0071315/
Z,"Crime, Drama, Thriller",127,8.2,1969,M/PG,https://www.imdb.com//title/tt0065234/
For a Few Dollars More,Western,132,8.2,1965,R,https://www.imdb.com//title/tt0059578/
The Great Escape,"Adventure, Drama, History",172,8.2,1963,Approved,https://www.imdb.com//title/tt0057115/
Yojimbo,"Action, Drama, Thriller",110,8.2,1961,Not Rated,https://www.imdb.com//title/tt0055630/
Some Like It Hot,"Comedy, Music, Romance",121,8.2,1959,Passed,https://www.imdb.com//title/tt0053291/
The Bridge on the River Kwai,"Adventure, Drama, War",161,8.2,1957,PG,https://www.imdb.com//title/tt0050212/
Dial M for Murder,"Crime, Thriller",105,8.2,1954,PG,https://www.imdb.com//title/tt0046912/
Tokyo Story,Drama,136,8.2,1953,Not Rated,https://www.imdb.com//title/tt0046438/
The Wages of Fear,"Adventure, Drama, Thriller",131,8.2,1953,Not Rated,https://www.imdb.com//title/tt0046268/
Umberto D.,Drama,89 ,8.2,1952,Not Rated,https://www.imdb.com//title/tt0045274/
Rashomon,"Crime, Drama, Mystery",88 ,8.2,1950,Not Rated,https://www.imdb.com//title/tt0042876/
All About Eve,Drama,138,8.2,1950,Passed,https://www.imdb.com//title/tt0042192/
The Treasure of the Sierra Madre,"Adventure, Drama, Western",126,8.2,1948,Passed,https://www.imdb.com//title/tt0040897/
To Be or Not to Be,"Comedy, Romance, War",99 ,8.2,1942,Passed,https://www.imdb.com//title/tt0035446/
Gone with the Wind,"Drama, Romance, War",238,8.2,1939,Passed,https://www.imdb.com//title/tt0031381/
The Passion of Joan of Arc,"Biography, Drama, History",114,8.2,1928,Passed,https://www.imdb.com//title/tt0019254/
The General,"Action, Adventure, Comedy",67 ,8.2,1926,Passed,https://www.imdb.com//title/tt0017925/
The Gold Rush,"Adventure, Comedy, Drama",95 ,8.2,1925,Passed,https://www.imdb.com//title/tt0015864/
Sherlock Jr.,"Action, Comedy, Romance",45 ,8.2,1924,Passed,https://www.imdb.com//title/tt0015324/
Portrait of a Lady on Fire,"Drama, Romance",122,8.1,2019,R,https://www.imdb.com//title/tt8613070/
Everything Everywhere All at Once,"Action, Adventure, Comedy",139,8.1,2022,R,https://www.imdb.com//title/tt6710474/
Pink,"Crime, Drama, Thriller",136,8.1,III),Not Rated,https://www.imdb.com//title/tt5571734/
A Silent Voice: The Movie,"Animation, Drama",130,8.1,2016,Not Rated,https://www.imdb.com//title/tt5323662/
"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",115,8.1,2017,R,https://www.imdb.com//title/tt5027774/
Talvar,"Crime, Drama, Mystery",132,8.1,2015,Not Rated,https://www.imdb.com//title/tt4934950/
Klaus,"Animation, Adventure, Comedy",96 ,8.1,2019,PG,https://www.imdb.com//title/tt4729430/
Masaan,Drama,109,8.1,2015,NA,https://www.imdb.com//title/tt4635372/
The Handmaiden,"Drama, Romance, Thriller",145,8.1,2016,Not Rated,https://www.imdb.com//title/tt4016934/
Bajrangi Bhaijaan,"Action, Adventure, Comedy",163,8.1,2015,Not Rated,https://www.imdb.com//title/tt3863552/
Queen,"Adventure, Comedy, Drama",146,8.1,2013,Not Rated,https://www.imdb.com//title/tt3322420/
Logan,"Action, Drama, Sci-Fi",137,8.1,2017,R,https://www.imdb.com//title/tt3315342/
Room,"Drama, Thriller",118,8.1,I) (,R,https://www.imdb.com//title/tt3170832/
Wild Tales,"Comedy, Drama, Thriller",122,8.1,2014,R,https://www.imdb.com//title/tt3011894/
Tangerines,"Drama, War",87 ,8.1,2013,Not Rated,https://www.imdb.com//title/tt2991224/
Winter Sleep,Drama,196,8.1,2014,Not Rated,https://www.imdb.com//title/tt2758880/
PK,"Comedy, Drama, Sci-Fi",153,8.1,2014,Not Rated,https://www.imdb.com//title/tt2338151/
OMG: Oh My God!,"Comedy, Drama, Fantasy",125,8.1,2012,Not Rated,https://www.imdb.com//title/tt2283748/
The Grand Budapest Hotel,"Adventure, Comedy, Crime",99 ,8.1,2014,R,https://www.imdb.com//title/tt2278388/
Gone Girl,"Drama, Mystery, Thriller",149,8.1,2014,R,https://www.imdb.com//title/tt2267998/
Wolf Children,"Animation, Drama, Family",117,8.1,2012,PG,https://www.imdb.com//title/tt2140203/
Hacksaw Ridge,"Biography, Drama, History",139,8.1,2016,R,https://www.imdb.com//title/tt2119532/
Barfi!,"Comedy, Drama, Romance",151,8.1,2012,Not Rated,https://www.imdb.com//title/tt2082197/
12 Years a Slave,"Biography, Drama, History",134,8.1,2013,R,https://www.imdb.com//title/tt2024544/
Rush,"Action, Biography, Drama",123,8.1,I) (,R,https://www.imdb.com//title/tt1979320/
Ford v Ferrari,"Action, Biography, Drama",152,8.1,2019,PG-13,https://www.imdb.com//title/tt1950186/
Spotlight,"Biography, Crime, Drama",129,8.1,I) (,R,https://www.imdb.com//title/tt1895587/
Kahaani,"Mystery, Thriller",122,8.1,2012,Not Rated,https://www.imdb.com//title/tt1821480/
Udaan,Drama,134,8.1,2010,Not Rated,https://www.imdb.com//title/tt1639426/
The Help,Drama,146,8.1,2011,PG-13,https://www.imdb.com//title/tt1454029/
Prisoners,"Crime, Drama, Mystery",153,8.1,2013,R,https://www.imdb.com//title/tt1392214/
Mad Max: Fury Road,"Action, Adventure, Sci-Fi",120,8.1,2015,R,https://www.imdb.com//title/tt1392190/
A Wednesday,"Action, Crime, Drama",104,8.1,2008,Not Rated,https://www.imdb.com//title/tt1280558/
Gran Torino,Drama,116,8.1,2008,R,https://www.imdb.com//title/tt1205489/
Harry Potter and the Deathly Hallows: Part 2,"Adventure, Family, Fantasy",130,8.1,2011,PG-13,https://www.imdb.com//title/tt1201607/
Article 15,"Crime, Drama, Mystery",130,8.1,2019,Not Rated,https://www.imdb.com//title/tt10324144/
Hachi: A Dog's Tale,"Biography, Drama, Family",93 ,8.1,2009,G,https://www.imdb.com//title/tt1028532/
Mary and Max,"Animation, Comedy, Drama",92 ,8.1,2009,Not Rated,https://www.imdb.com//title/tt0978762/
How to Train Your Dragon,"Animation, Action, Adventure",98 ,8.1,2010,PG,https://www.imdb.com//title/tt0892769/
Let's Go! India,"Drama, Family, Sport",153,8.1,2007,Not Rated,https://www.imdb.com//title/tt0871510/
Into the Wild,"Adventure, Biography, Drama",148,8.1,2007,R,https://www.imdb.com//title/tt0758758/
Rang De Basanti,"Comedy, Crime, Drama",167,8.1,2006,Not Rated,https://www.imdb.com//title/tt0405508/
Million Dollar Baby,"Drama, Sport",132,8.1,2004,PG-13,https://www.imdb.com//title/tt0405159/
Hotel Rwanda,"Biography, Drama, History",121,8.1,2004,PG-13,https://www.imdb.com//title/tt0395169/
Ratatouille,"Animation, Adventure, Comedy",111,8.1,2007,G,https://www.imdb.com//title/tt0382932/
Before Sunset,"Drama, Romance",80 ,8.1,2004,R,https://www.imdb.com//title/tt0381681/
Black,Drama,122,8.1,2005,Not Rated,https://www.imdb.com//title/tt0375611/
Munna Bhai M.B.B.S.,"Comedy, Drama",156,8.1,2003,Not Rated,https://www.imdb.com//title/tt0374887/
Memories of Murder,"Crime, Drama, Mystery",132,8.1,2003,Not Rated,https://www.imdb.com//title/tt0353969/
Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",143,8.1,2003,PG-13,https://www.imdb.com//title/tt0325980/
Dil Chahta Hai,"Comedy, Drama, Romance",183,8.1,2001,Not Rated,https://www.imdb.com//title/tt0292490/
Catch Me If You Can,"Biography, Crime, Drama",141,8.1,2002,PG-13,https://www.imdb.com//title/tt0264464/
Her Sey Çok Güzel Olacak,"Comedy, Drama, Thriller",107,8.1,1998,NA,https://www.imdb.com//title/tt0263438/
Amores Perros,"Drama, Thriller",154,8.1,2000,R,https://www.imdb.com//title/tt0245712/
Hera Pheri,"Action, Comedy, Crime",156,8.1,2000,Not Rated,https://www.imdb.com//title/tt0242519/
